IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25466484,13999.992,2099.9988,2100.0088,0,-1E-45,0,-1.5994317E-11,-3.4632536E-05,3.6448537E-07,3.2656317E-07,5.52672E-06,-4.8139158E-05,1.1681895,0.0054307557,-1.6533304E-06,0.30320278,0.30318815,0.40534845,0.40537617,-8.7516476E-08,7.910471E-07,-1.6384636E-08,6.9091533E-07,1.7432896E-05,-1.55348E-05,1.4749556E-05,-1.3085102E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.1318743E-06,1.1834271E-06,2.5762256E-05,2.5842393E-05,0.0001,0.0001,0.0001,0.0001,2.1442771E-05,2.0623207E-05,-2.3648143E-05,-2.1830201E-05,78,8,231,1,12,32.150856,-7.078471,13.197491,3.4634453E-05,-0.026075877,-0.00011857392,116.5951,116.59509,116.595146,116.595146,0,1,-6.549836,0,0,23.230171,23.230171,0,1,0,0,0,0,1,0,60,0
True,25469296,13999.992,2099.9988,2474.2976,-0.0026209746,-0.0027878396,-0.01939323,-1.3257726E-05,-0.00016703889,-0.0014273612,0.0001382595,-0.00011031037,-0.0030753065,1.1681881,0.0054338956,-5.3988057E-05,0.30289713,0.30367547,0.4049972,0.40575796,8.863179E-05,0.000112785376,7.946412E-05,0.00010022884,-0.0047497586,-0.0041803014,-0.00430875,-0.0038279532,0,0,0,0,0,0,0,0,0,0,0,0,0.001171549,0.0011754925,0.0008986854,0.0009141521,0.0011748968,0.0011808908,0.0009021918,0.0009196303,4.3436885E-06,4.788488E-05,-4.670024E-05,3.2261014E-06,78,8,231,1,12,32.150826,-7.0784736,13.197479,0.0014371629,17387.232,68.21336,116.580215,116.5802,116.58026,116.58026,0,0.99999994,-6.549836,0,0,23.336838,23.336838,0,1,255,0,0,0,1,0,60,0
True,25469406,13999.992,2099.9988,4809.0977,0.0018352745,0.001579313,-0.027241834,-1.7642276E-05,-0.00021325116,-0.005162346,9.784184E-06,-0.00016005803,-0.0026526642,1.1681641,0.005446466,-0.00050780154,0.29905578,0.3092516,0.4009481,0.41045815,6.639686E-05,0.00012791449,6.269133E-05,0.00011608953,-0.01710477,-0.016113698,-0.0155094005,-0.014672633,0,0,0,0,0,0,0,0,0,0,0,0,0.0013252554,0.0013338994,0.00074658793,0.0007934004,0.0013269176,0.0013400186,0.0007492154,0.0008018485,-0.0002105385,0.0003598109,-0.00031241775,0.0003116727,78,8,231,1,12,32.1505,-7.0785136,13.197341,0.0051667793,49462.07,99.427986,116.56549,116.56549,116.56549,116.56549,0,0.99999774,-6.549836,0,0,23.443506,23.443506,0,1,255,0,0,0,1,0,60,0
True,25469515,13999.992,2099.9988,7154.827,-0.003305667,0.0039105276,-0.04322072,-1.8443447E-05,0.000241103,-0.008951399,-1.5608675E-05,-1.9245861E-05,-0.00047463458,1.1681564,0.0054434408,-0.0006434263,0.29691875,0.31083816,0.39916098,0.41187233,8.813234E-05,0.00010018312,8.2230734E-05,9.256519E-05,-0.02905336,-0.028929707,-0.026389718,-0.026285322,0,0,0,0,0,0,0,0,0,0,0,0,0.00023269161,0.00024192402,0.00013702716,0.00021094689,0.00024882262,0.00026184708,0.00015980718,0.00023036255,-0.00033008307,0.0004485622,-0.00042969733,0.00040447712,78,8,231,1,12,32.1498,-7.0784974,13.197045,0.008954665,73886,99.42798,116.55068,116.550674,116.550644,116.550644,0,0.9999939,-6.550881,0,0,23.550173,23.550173,0,1,255,0,0,0,1,0,60,0
True,25469625,13999.992,2099.9988,9778.565,0.0018569743,-0.0018721549,-0.022564441,1.5019206E-05,-6.8071095E-05,-0.010673858,-0.00031191605,-1.4047924E-05,-0.000232174,1.1681561,0.005442477,-0.00064959546,0.29630488,0.31055632,0.39870822,0.41165763,-0.00041746598,-0.00039501928,0.008124596,0.008258007,-0.04068046,-0.040630974,-0.019709522,-0.024196513,0,0,0,0,0,0,0,0,0,0,0,0,4.4684857E-05,5.702089E-05,2.114435E-05,0.00012335168,0.00041985066,0.00039911355,0.008124623,0.008258928,-0.0003644228,0.00043279678,-0.00045941025,0.00039038807,78,8,231,1,12,32.148582,-7.0784802,13.1965275,0.0106740855,101275.016,99.427986,116.53396,116.53395,116.53389,116.53389,0,0.9999878,-6.5519257,0,0,23.670174,23.670174,0,1,255,0,0,0,1,0,60,0
True,25469734,13999.992,2099.9988,10823.775,0.11317253,-0.1771772,8.147782,0.010217458,-0.0181069,0.94863605,-0.039467283,-0.0055567683,-0.0145245595,1.1677845,0.0026545234,-0.0015057729,0.24807541,0.2761281,0.4237054,0.45051807,0.0014290416,0.028971251,13.35096,13.136917,3.0167692,2.9588451,47.481976,46.512768,0,0,0,0,0,0,0,0,0,0,0,0,0.01574461,0.012909256,-0.05423688,-0.08835629,0.01580933,0.031717222,13.351069,13.137215,-0.00306236,-0.0014931038,0.0011810139,0.0029405802,78,8,231,1,12,32.187992,-7.079251,13.2130165,0.9488638,472346.94,414.21188,116.524155,116.52478,117.731155,117.731155,0,0.9999665,-6.5097923,0,0,23.77684,23.77684,0,1,255,0,0,0,1,0,60,0
True,25469843,13999.992,2099.9988,12402.079,-0.053407907,0.43227258,9.349806,0.0034636855,0.030786809,1.9807837,0.012106214,0.0018315726,-0.01752685,1.167574,0.0010741863,-0.0034493115,0.21271458,0.26331377,0.51105464,0.53821117,-0.022058306,-0.051037382,29.44903,29.459438,6.412776,6.30619,98.849014,98.89648,0,0,0,0,0,0,0,0,0,0,0,0,-0.008317879,-0.011061203,0.028065395,-0.011631909,0.023574477,0.052222263,29.449043,29.45944,-0.0050404295,-0.0022099316,0.006913252,0.008695386,78,8,231,1,12,32.334347,-7.0795717,13.274429,1.9810259,501151.66,387.14746,116.51405,116.516266,122.58327,122.58327,0,0.999937,-6.3506603,0,0,23.883509,23.883509,0,1,255,0,0,0,1,0,60,0
True,25469968,13999.992,2099.9988,12948.907,-0.046150684,0.09149169,8.927448,0.0012931824,0.06040717,3.0649703,0.021806888,-0.001424276,0.0061499635,1.1673089,0.0038860014,-0.0028190447,0.22455569,0.2594024,0.4555776,0.48311135,-0.016938409,-0.026254993,27.903118,27.98188,9.96497,9.8985,96.55298,96.647354,0,0,0,0,0,0,0,0,0,0,0,0,-0.00030170017,-0.004138442,0.008232653,-0.032786265,0.016941097,0.026579153,27.903118,27.9819,-0.004378043,-0.0024287328,0.003272608,0.005079493,78,8,231,1,12,32.615704,-7.073306,13.394032,3.0655656,506877.97,377.16742,116.50257,116.50722,128.27486,128.27486,0,0.9999172,-6.0449314,0,0,24.003508,24.003508,0,1,255,0,0,0,1,0,60,0
True,25470062,13999.992,2099.9988,12415.114,-0.02237916,-0.19546852,8.692552,0.002158165,0.03453147,3.9811437,0.002005112,-0.00039596713,0.017021218,1.1671042,0.0050081364,-0.002486967,0.22841313,0.25460398,0.4199195,0.43945864,-0.015904166,-0.05918303,28.159855,28.076164,12.984469,13.043019,99.14208,99.121086,0,0,0,0,0,0,0,0,0,0,0,0,-0.0072713033,-0.011745028,0.006884521,-0.034557275,0.017487548,0.060337193,28.159855,28.076185,-0.0041622594,-0.0026971549,0.0009325668,0.0022148117,78,8,231,1,12,32.96217,-7.070184,13.541611,3.981294,-160976.6,-122.83027,116.493225,116.50006,133.1824,133.1824,0,0.9998974,-5.6678195,0,0,24.110174,24.110174,0,1,255,0,0,0,1,0,60,0
True,25470171,13999.992,2099.9988,12631.362,0.5134461,-0.011694229,9.16544,0.04766631,0.034741253,4.962483,-0.003043755,0.044237714,0.021292737,1.1682405,0.0048204735,-0.0021885517,0.2304267,0.2510679,0.43561712,0.4488169,-0.022306683,-0.020870464,28.548927,28.52977,16.324562,16.063808,102.373566,102.524994,0,0,0,0,0,0,0,0,0,0,0,0,0.09797199,0.09725809,0.010533749,-0.030672677,0.10047935,0.099472165,28.54893,28.529785,-0.0040496215,-0.0028949603,0.001962714,0.0028289407,78,8,231,1,12,33.402107,-7.069006,13.727803,4.9628334,-166134.11,-124.96135,116.487595,116.49598,138.01248,138.01248,0,0.99987775,-5.190075,0,0,24.216843,24.216843,0,1,255,0,0,0,1,12,60,0
