IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25910406,13999.992,2099.9988,2100.0166,-1.2030178E-11,-6.095144E-08,-7.136332E-10,2.0652813E-11,-4.7392308E-07,4.9517923E-09,1.283325E-05,-9.149941E-06,1.5725946E-05,-2.4871202,-0.01170769,0.00019737193,0.3012553,0.30266362,0.40690693,0.40552217,4.6430407E-07,1.0681086E-07,-3.7452274E-08,-1.9034773E-07,-3.6644513E-05,1.7935794E-05,-3.268119E-05,1.3394025E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.8471465E-05,1.8488741E-05,-1.9541048E-05,-1.9481724E-05,0.0001,0.0001,0.0001,0.0001,-8.749962E-05,-8.717179E-06,7.862598E-05,-1.22487545E-05,78,8,231,1,12,-328.30676,0.16782412,304.4047,4.7394894E-07,-0.04648326,-0.0002113709,119.75955,119.759544,119.75954,119.75954,0,1,-12.966131,0,0,1.1466722,1.1466722,0,1,0,0,0,0,1,0,46,0
True,25912156,13999.992,2099.9988,2100.0107,-2.0182864E-12,-1.0225739E-08,-1.1972526E-10,2.0713209E-11,-4.7529502E-07,4.966127E-09,1.2833057E-05,-9.150504E-06,1.5723379E-05,-2.4871202,-0.01170769,0.00019737193,0.3012553,0.30266362,0.40690693,0.40552217,4.6459365E-07,1.0717802E-07,-3.7148148E-08,-1.8999214E-07,-3.664635E-05,1.7937457E-05,-3.268276E-05,1.3395414E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.8474075E-05,1.8491346E-05,-1.9540688E-05,-1.9481371E-05,0.0001,0.0001,0.0001,0.0001,-8.749962E-05,-8.717179E-06,7.862598E-05,-1.22487545E-05,78,8,231,1,12,-328.30676,0.16782412,304.4047,4.7532097E-07,-0.031366665,-0.00014263239,119.74362,119.743614,119.74361,119.74361,0,1,-12.966131,0,0,1.2533401,1.2533401,0,1,0,0,0,0,1,0,46,0
True,25912281,13999.992,2099.9988,2100.0088,-2.869076E-13,-1.4536303E-09,-1.7019431E-11,2.3560709E-11,-5.4063935E-07,5.6488783E-09,1.2901474E-05,-9.1553065E-06,1.5639585E-05,-2.4871202,-0.01170769,0.00019737193,0.3012553,0.30266336,0.40690693,0.40552217,4.6801534E-07,1.1254695E-07,-3.5722014E-08,-1.8746987E-07,-3.6710422E-05,1.789967E-05,-3.2746626E-05,1.3353706E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.8515004E-05,1.8532166E-05,-1.9513664E-05,-1.9454377E-05,0.0001,0.0001,0.0001,0.0001,-8.749962E-05,-8.7320805E-06,7.862598E-05,-1.22487545E-05,78,8,231,1,12,-328.30676,0.16782412,304.4047,5.4066885E-07,-0.026075877,-0.00011857392,119.72656,119.72656,119.72655,119.72655,0,1,-12.966131,0,0,1.3676071,1.3676071,0,1,0,0,0,0,1,0,46,0
True,25912375,13999.992,2099.9988,3147.2256,-0.039701767,-0.0030695638,-0.1468266,1.6345177E-05,-0.00035146414,-0.014907666,0.00052236393,-0.00024098292,-0.0044570193,-2.4871294,-0.011666741,-2.801884E-06,0.3004957,0.30527255,0.40502343,0.40677863,0.00040172844,0.00048943626,0.00037084962,0.00042034852,-0.04852637,-0.047119305,-0.04408902,-0.042901255,0,0,0,0,0,0,0,0,0,0,0,0,0.0019924403,0.002006041,0.0011725744,0.0012840644,0.0020325363,0.0020648844,0.0012298211,0.0013511159,-0.00012999028,0.0001372248,-4.4979155E-05,7.020682E-05,78,8,231,1,12,-328.30637,0.16780369,304.40527,0.014911817,28554.223,88.09344,119.712715,119.712715,119.71268,119.71268,0,0.99999946,-12.966131,0,0,1.4609411,1.4609411,0,1,229,0,0,0,1,0,46,0
True,25912484,13999.992,2099.9988,5752.471,-0.060523886,0.001238392,-0.133444,1.2913719E-05,-0.00021766502,-0.033812206,-9.976211E-07,-9.986328E-05,-0.0014527591,-2.487153,-0.011640892,-0.00038568073,0.29689613,0.31061906,0.40078077,0.41069123,0.00041221382,0.000454388,0.00038707478,0.0004147915,-0.10965267,-0.109033264,-0.099600844,-0.099077865,0,0,0,0,0,0,0,0,0,0,0,0,0.0007108253,0.00075028144,0.00023696307,0.000506863,0.0008217012,0.00087714917,0.0004538484,0.00065495196,-0.00033134967,0.000436306,-0.0003233999,0.00032696873,78,8,231,1,12,-328.30457,0.1677245,304.40753,0.033812907,59284.56,99.427986,119.69527,119.69527,119.69515,119.69515,0,0.99999636,-12.968708,0,0,1.5794089,1.5794089,0,1,255,0,0,0,1,0,46,0
True,25912609,13999.992,2099.9988,8391.423,0.022579722,-0.00019528414,-0.24747014,1.270324E-05,-0.00033235567,-0.052937478,8.547802E-05,-1.9193414E-05,-0.00024345583,-2.4871576,-0.011640661,-0.00045051795,0.2953214,0.31101757,0.39973387,0.41131023,0.0004328486,0.00043995483,0.00039956038,0.00040429065,-0.1720934,-0.17197658,-0.15635209,-0.15625344,0,0,0,0,0,0,0,0,0,0,0,0,7.889899E-05,0.0001421837,-0.00017253416,0.00025549904,0.00043998065,0.00046235966,0.00043522008,0.00047825798,-0.00041943789,0.00045859814,-0.0003921017,0.0003675893,78,8,231,1,12,-328.3014,0.16763812,304.41168,0.052938517,86761.53,99.42798,119.67749,119.677505,119.67737,119.67737,0,0.99999136,-12.974934,0,0,1.6994092,1.6994092,0,1,255,0,0,0,1,0,46,0
True,25912718,13999.992,2099.9988,10242.372,-0.032993674,-0.020027945,2.4001656,0.00017629564,-0.0023916645,0.17688654,-0.024360482,-0.0019357111,-0.00016280636,-2.4871871,-0.012029952,-0.0004579434,0.2895182,0.3053321,0.40380338,0.4154886,-0.05122867,-0.05282671,0.4837441,0.45826316,0.4194783,0.4418624,2.2039926,0.59454596,0,0,0,0,0,0,0,0,0,0,0,0,0.005933217,0.005764812,-0.0033973902,-0.0046027666,0.051571112,0.053140327,0.48375607,0.4582863,-0.00074406713,0.0001405552,-0.0001250431,0.000641793,78,8,231,1,12,-328.29968,0.16753225,304.4139,0.1769028,106571.36,99.427986,119.66222,119.66221,119.66576,119.66576,0,0.99998516,-12.977725,0,0,1.8060766,1.8060766,0,1,255,0,0,0,1,0,46,0
True,25912812,13999.992,2099.9988,10004.336,0.11098623,0.16609187,10.184996,0.00923264,0.011505102,1.4129249,-0.016501788,-0.0046698395,-0.011042098,-2.4872923,-0.015411257,-0.0017535727,0.22302002,0.26106673,0.45855594,0.495332,-0.024219694,-0.054087162,23.297247,23.066137,4.5488844,4.4647093,79.29117,77.96892,0,0,0,0,0,0,0,0,0,0,0,0,0.014298806,0.009284281,-0.03877603,-0.07886022,0.0281256,0.05487822,23.29728,23.066273,-0.0044639483,-0.0023356304,0.003468059,0.005881466,78,8,231,1,12,-328.3517,0.16862562,304.34708,1.4130019,447928.75,425.44366,119.65251,119.654305,122.279854,122.279854,0,0.99995816,-12.893135,0,0,1.9127439,1.9127439,0,1,255,0,0,0,1,0,46,0
True,25912921,13999.992,2099.9988,12848.776,-0.008023739,0.16850325,9.081538,0.0089787245,0.03575794,2.3773942,-0.00037391018,-0.003535451,-0.011230877,-2.4878333,-0.015478563,-0.002810467,0.23870976,0.28734574,0.46317688,0.5033141,-0.01832452,0.019338341,33.31554,33.59426,7.72021,7.6685677,112.93116,112.7225,0,0,0,0,0,0,0,0,0,0,0,0,-0.006407394,-0.011813692,-0.0062470925,-0.045319594,0.01941244,0.022661306,33.31554,33.59429,-0.00358627,-0.00086559355,0.003771305,0.0064052865,78,8,231,1,12,-328.47754,0.17491686,304.18484,2.3776803,506553.56,378.8779,119.640755,119.64474,127.24146,127.24146,0,0.9999283,-12.6881,0,0,2.0194113,2.0194113,0,1,255,0,0,0,1,0,46,0
True,25913031,13999.992,2099.9988,13388.087,-0.054709196,-0.10503143,8.295141,0.009336829,0.01541603,3.2365434,-0.013332529,-0.0058257743,-0.0017065075,-2.4884944,-0.016395263,-0.0017776106,0.23526402,0.26694575,0.44477454,0.48069093,-0.015951114,-0.048809763,32.07111,32.049736,10.540853,10.465031,112.45408,111.89325,0,0,0,0,0,0,0,0,0,0,0,0,0.0069654905,0.0018104416,-0.014617503,-0.05380622,0.017405635,0.048843328,32.071114,32.04978,-0.003779024,-0.0020067617,0.0025636628,0.004920654,78,8,231,1,12,-328.66068,0.18233447,303.94724,3.2365937,498051.75,354.94928,119.62935,119.63567,132.17352,132.17352,0,0.9999123,-12.388599,0,0,2.1260784,2.1260784,0,1,255,0,0,0,1,0,46,0
