IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25693625,13999.992,2099.9988,2100.031,2.8790262E-10,4.515262E-05,-4.7477104E-07,-2.3870741E-10,3.7648253E-05,-3.9657894E-07,2.6374397E-05,4.7800967E-07,8.728159E-06,3.1400428,0.010514419,6.376209E-06,0.30356333,0.3035957,0.40515056,0.4051826,1.8522238E-07,1.2142917E-08,-5.8426906E-07,-7.2616047E-07,-1.9083285E-05,-2.194933E-05,-1.9789493E-05,-2.2209835E-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.832169E-06,-3.825257E-06,-2.2434674E-06,-2.1906462E-06,0.0001,0.0001,0.0001,0.0001,4.1611493E-05,4.3421984E-05,-3.6634505E-05,-3.453344E-05,78,8,231,1,12,237.8068,-88.09099,-744.9183,3.765034E-05,-0.08427512,-0.00038321718,119.86384,119.863846,119.86383,119.86383,0,1,-7.0496883,0,0,0.648674,0.648674,0,1,0,0,0,0,1,0,73,0
True,25697562,13999.992,2099.9988,2100.0247,4.8300745E-11,7.5751495E-06,-7.965151E-08,-8.2936824E-11,3.9465867E-05,-4.1582854E-07,2.7465692E-05,5.118083E-07,9.022885E-06,3.1400428,0.010514456,6.376211E-06,0.30357185,0.3035957,0.4051518,0.40518373,1.8855705E-07,6.4718577E-09,-6.1692907E-07,-7.661573E-07,-1.9941022E-05,-2.3009607E-05,-2.0686062E-05,-2.3276853E-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.1296003E-06,-4.1224525E-06,-2.4323433E-06,-2.3770501E-06,0.0001,0.0001,0.0001,0.0001,4.208833E-05,4.3421984E-05,-3.655255E-05,-3.4458935E-05,78,8,231,1,12,237.8068,-88.09099,-744.9183,3.9468054E-05,-0.06764663,-0.00030760482,119.84791,119.847916,119.8479,119.8479,0,1,-7.0496883,0,0,0.7553421,0.7553421,0,1,0,0,0,0,1,0,73,0
True,25697671,13999.992,2099.9988,2177.4136,1.1846816E-12,1.2708936E-06,-1.3363598E-08,1.1073358E-07,2.5765876E-05,-5.6723127E-07,3.1296117E-05,-1.7973536E-05,-0.0008484925,3.1400428,0.010514732,9.3216295E-07,0.3035191,0.30366975,0.40511492,0.40524504,-1.7365593E-07,1.1872921E-06,-5.311416E-07,-1.4419786E-07,-5.5131968E-05,7.5599573E-06,-5.0745828E-05,2.1857463E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.00024686253,0.00024686306,0.00023374891,0.00023380332,0.0002468626,0.0002468659,0.00023374951,0.00023380337,3.91379E-05,4.7564507E-05,-3.8973987E-05,-3.0435622E-05,78,8,231,1,12,237.8068,-88.09099,-744.9183,2.5772357E-05,5881.4683,25.976631,119.83198,119.831985,119.83197,119.83197,0,1,-7.0496883,0,0,0.862009,0.862009,0,1,69,0,0,0,1,0,73,0
True,25697796,13999.992,2099.9988,4359.589,-7.2604374E-11,1.7057387E-07,-1.7945144E-09,-3.996039E-06,-0.00039470024,3.9298986E-05,-7.1778195E-06,-0.00016641674,-0.0026801147,3.1400206,0.010520065,-0.00042564765,0.29952994,0.308148,0.40122265,0.40920496,-2.9716526E-05,3.4751036E-05,-2.423687E-05,2.8920209E-05,-0.00038507255,0.0006420854,-0.00031651306,0.00055072043,0,0,0,0,0,0,0,0,0,0,0,0,0.0013326731,0.0013337916,0.0007498982,0.000750391,0.0013330044,0.0013342443,0.00075028976,0.0007509481,-0.00018401444,0.00029807538,-0.00029440224,0.00022943318,78,8,231,1,12,237.8068,-88.09099,-744.9183,0.000396672,39965.914,88.60395,119.81421,119.8142,119.81414,119.81414,0,0.9999983,-7.0496883,0,0,0.98200977,0.98200977,0,1,233,0,0,0,1,0,73,0
True,25697906,13999.992,2099.9988,6105.3486,-1.431259E-11,2.8617205E-08,-3.0098324E-10,-3.857491E-06,-6.002246E-05,5.8102876E-05,-2.840396E-05,4.7385474E-05,0.000993825,3.1400154,0.010517173,-0.0005001393,0.2980141,0.3093663,0.40003464,0.41032463,5.3390418E-06,-4.7225435E-06,5.1253555E-06,-2.6708335E-06,0.00034117614,8.27929E-05,0.00030444018,8.627984E-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.00040696154,-0.0004074017,-0.0002708092,-0.00027156973,0.00040699655,0.00040742906,0.00027085768,0.00027158286,-0.0002688095,0.00036622584,-0.00037236512,0.0003029108,78,8,231,1,12,237.8068,-88.09099,-744.9183,8.362727E-05,36593.816,57.55594,119.79833,119.79833,119.79823,119.79823,0,0.9999956,-7.0496883,0,0,1.088677,1.088677,0,1,182,0,0,0,1,0,73,0
True,25698000,13999.992,2099.9988,7272.657,-1.7892356E-12,4.801104E-09,-5.0496413E-11,-2.5272486E-06,-7.917214E-05,6.676877E-05,6.1258543E-06,6.129896E-05,0.0009345837,3.1400228,0.010517279,-0.00037267167,0.29934347,0.30804572,0.40130565,0.4090784,1.1159769E-05,-9.5230125E-06,9.084336E-06,-7.959546E-06,0.00040002697,2.7221358E-05,0.00035087432,3.611368E-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.00046094594,-0.0004612651,-0.00024685616,-0.00024755247,0.000461081,0.00046136338,0.00024702324,0.00024768038,-0.00019444525,0.00029235333,-0.00028895587,0.00022112578,78,8,231,1,12,237.8068,-88.09099,-744.9183,0.00010359867,34945.766,46.057255,119.782455,119.782455,119.78234,119.78234,0,0.9999933,-7.0496883,0,0,1.1953444,1.1953444,0,1,170,0,0,0,1,0,73,0
True,25698109,13999.992,2099.9988,8144.4243,0.0029411104,-0.020512534,1.8646339,-4.4347733E-05,-0.0018360318,0.14859712,-0.010916376,9.2454386E-05,-7.5612897E-06,3.1400187,0.010173067,-0.00032881097,0.2955015,0.30294907,0.40550697,0.4121867,-0.030213555,-0.029106127,-0.12375403,-0.12860882,0.75445706,0.75767064,1.581768,1.6139647,0,0,0,0,0,0,0,0,0,0,0,0,0.00039213846,0.0002092247,0.0006687561,-0.0008040589,0.0302161,0.02910688,0.123755835,0.12861134,-0.0004093647,7.249415E-06,-1.3247132E-05,0.00042510778,78,8,231,1,12,237.8068,-88.09104,-744.9218,0.14860846,43674.492,51.24698,119.767334,119.767395,119.76938,119.76938,0,0.99999094,-7.0462465,0,0,1.3020117,1.3020117,0,1,183,0,0,0,1,0,73,0
True,25698218,13999.992,2099.9988,8210.846,0.06023453,-0.112964556,8.879627,0.007604981,-0.01771271,1.2695174,-0.030091146,-0.0031466463,-0.00956594,3.1397755,0.0067292335,-0.0013771463,0.23458901,0.26057273,0.45328262,0.4792622,-0.02104623,-0.054408543,14.36528,14.16786,4.1091957,4.008128,50.306366,49.451874,0,0,0,0,0,0,0,0,0,0,0,0,0.0051069567,0.0011693062,-0.030047456,-0.070392735,0.02165698,0.054421104,14.365312,14.168035,-0.0038167834,-0.0023632646,0.003122002,0.004826896,78,8,231,1,12,237.80649,-88.092735,-744.9985,1.2696638,261667.5,302.93848,119.75887,119.759415,122.091034,122.091034,0,0.9999754,-6.969093,0,0,1.4086789,1.4086789,0,1,189,0,0,0,1,0,73,0
True,25698343,13999.992,2099.9988,9562.578,0.026212048,0.46445632,8.946603,0.010277921,0.046790186,2.3628056,0.012545945,-0.0066292267,-0.0024008572,3.1392198,0.006156228,-0.0019913036,0.24535593,0.27378756,0.52251697,0.5678376,-0.016438272,0.012506497,23.69384,23.553665,7.6518536,7.6419573,81.92176,81.01511,0,0,0,0,0,0,0,0,0,0,0,0,0.0042053573,0.001439031,-0.029722486,-0.06911441,0.01696767,0.012589014,23.69386,23.553766,-0.003214486,-0.0016240329,0.007665463,0.0106396,78,8,231,1,12,237.8058,-88.09246,-745.2189,2.363291,299529.62,300.39035,119.74518,119.7482,127.28262,127.28262,0,0.9999562,-6.747383,0,0,1.528679,1.528679,0,1,191,0,0,0,1,0,73,0
True,25698437,13999.992,2099.9988,11065.265,0.02969921,0.25713918,9.320531,0.01517117,0.072925314,3.2201138,0.0231504,-0.009608606,0.0016544336,3.1384819,0.007965701,-0.0020871572,0.2301117,0.2587976,0.47156078,0.52013755,-0.017219385,-0.05716355,26.982544,26.83213,10.445008,10.583862,94.41838,93.42102,0,0,0,0,0,0,0,0,0,0,0,0,0.0070877173,0.0032373057,-0.03858517,-0.07889882,0.018621037,0.057255145,26.98257,26.832247,-0.004067242,-0.002462566,0.004321493,0.0075093135,78,8,231,1,12,237.80527,-88.08821,-745.48035,3.2209754,307041.7,266.04324,119.73539,119.7404,131.4291,131.4291,0,0.999939,-6.484371,0,0,1.6220134,1.6220134,0,1,183,0,0,0,1,0,73,0
