IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25167312,13999.992,2099.9988,7741.6787,-0.00037283328,0.023156945,-0.000212949,-0.00018849708,0.0074616214,-0.001077452,0.0019186831,2.3995563E-05,0.0003428558,-1.514409,0.009194451,-0.016098889,0.3041069,0.30760685,0.398532,0.41955552,-2.666978E-05,-3.6588957E-05,-7.6614335E-05,-8.093607E-05,-0.0048263134,-0.004979028,-0.004569548,-0.004691428,0,0,0,0,0,0,0,0,0,0,0,0,3.6702393E-05,5.6263776E-05,4.7570826E-05,9.964959E-05,0.0001,0.0001,0.0001,0.00012837713,7.201731E-05,0.00026780367,-0.00047097355,0.00090868026,78,8,231,1,12,286.79355,0.08884105,199.18755,0.0075413673,52978.777,65.67752,119.94774,119.94771,119.9475,119.9475,0,0.99999267,-5.8954167,0,0,0.1066669,0.1066669,0,1,203,0,0,0,1,0,199,0
True,25167421,13999.992,2099.9988,9092.992,0.0052742288,-0.06744727,1.8150864,0.0009072758,-0.001987704,0.17895126,-0.017259639,-0.0007749924,-8.792983E-05,-1.5144156,0.008950668,-0.016093463,0.293113,0.2999953,0.39587215,0.41663995,-0.11208673,-0.116738744,0.27011472,0.2709761,0.36898667,0.36896038,1.3777175,1.357626,0,0,0,0,0,0,0,0,0,0,0,0,0.00065937906,0.00033782396,-0.0013904447,-0.002792934,0.112088665,0.116739236,0.2701183,0.2709905,-0.00054297596,-0.00015798211,-0.00064552575,0.00071734935,78,8,231,1,12,286.79056,0.0890747,199.18771,0.17896459,69471.57,73.05528,119.9327,119.93272,119.93407,119.93407,0,0.99998885,-5.892559,0,0,0.2133343,0.2133343,0,1,218,0,0,0,1,0,199,0
True,25167531,13999.992,2099.9988,9719.549,0.10167527,0.14387855,10.008421,0.013184808,0.008629373,1.413356,-0.017126529,-0.0072195623,-0.012959254,-1.5148076,0.005673592,-0.0174519,0.23256986,0.25670663,0.44641817,0.48739168,-0.023161197,0.016881315,18.622564,18.336058,4.540497,4.5284643,64.474754,63.041935,0,0,0,0,0,0,0,0,0,0,0,0,0.004479342,0.0024687592,-0.06465551,-0.10476235,0.023590371,0.017060878,18.622677,18.336357,-0.003929734,-0.0025795326,0.0026715249,0.0053603873,78,8,231,1,12,286.70563,0.08817541,199.19325,1.4134437,433082.66,424.48932,119.92322,119.9246,122.3829,122.3829,0,0.99996567,-5.8083487,0,0,0.3200011,0.3200011,0,1,253,0,0,0,1,0,199,0
True,25167640,13999.992,2099.9988,12786.271,0.020345569,0.04428823,8.8267145,0.020824403,0.020542946,2.477187,-0.0019317003,-0.007252669,-0.019191632,-1.5158501,0.0054841437,-0.019304251,0.23663068,0.27589875,0.4373056,0.46534944,-0.019283062,-0.04569553,32.14056,32.10978,8.030687,7.9854517,108.75673,108.68278,0,0,0,0,0,0,0,0,0,0,0,0,-0.008833871,-0.011331746,-0.050853066,-0.090406336,0.021210227,0.04707961,32.140602,32.10991,-0.0037025735,-0.0015059337,0.002073519,0.0039138794,78,8,231,1,12,286.46912,0.089267984,199.20876,2.4773598,505878.47,379.98914,119.90988,119.91389,127.85562,127.85562,0,0.99993265,-5.574038,0,0,0.4400017,0.4400017,0,1,255,0,0,0,1,0,199,0
True,25167750,13999.992,2099.9988,13257.001,0.011009157,-0.04842896,8.269036,0.023720533,0.009002068,3.3523197,-0.006858409,-0.01355699,0.001573852,-1.5171062,0.004793774,-0.018526485,0.22731338,0.2635759,0.44983461,0.48409683,-0.017565498,-0.029811224,28.900036,28.87043,10.889986,10.892657,102.43464,102.03771,0,0,0,0,0,0,0,0,0,0,0,0,0.0017445433,-0.0013503485,-0.06292807,-0.10315699,0.017651917,0.029841792,28.900105,28.870613,-0.004223779,-0.0021952689,0.0028957278,0.005144164,78,8,231,1,12,286.15808,0.08894717,199.22804,3.3524158,501764.3,361.54123,119.89866,119.90476,132.79214,132.79214,0,0.9999168,-5.26577,0,0,0.5466689,0.5466689,0,1,255,0,0,0,1,0,198,0
True,25167859,13999.992,2099.9988,12540.1045,0.06761134,0.24733295,9.067027,0.03805755,0.038019717,4.314875,0.008747324,-0.026358237,0.018945174,-1.5190506,0.0047375527,-0.017444175,0.2302646,0.25054607,0.47796294,0.5130082,-0.016118217,-0.019091828,27.795021,27.59546,13.993263,14.142679,100.03687,98.86631,0,0,0,0,0,0,0,0,0,0,0,0,0.009990571,0.0065391334,-0.09897249,-0.13904335,0.018963344,0.020180639,27.795197,27.595812,-0.004058689,-0.0029241517,0.0047416314,0.0070414543,78,8,231,1,12,285.75015,0.089225575,199.25284,4.3152103,292293.53,222.9317,119.88832,119.89642,137.6759,137.6759,0,0.9999018,-4.8615255,0,0,0.6533361,0.6533361,0,1,174,0,0,0,1,0,197,0
True,25167968,13999.992,2099.9988,12537.102,0.10091454,0.16108264,9.572263,0.06584376,0.059219442,5.3387594,0.01524647,-0.034420796,-0.0053112986,-1.5224959,0.006001056,-0.017183058,0.23098797,0.2403857,0.47636312,0.47862712,-0.019302296,-0.016990492,28.913383,28.82163,17.308125,17.520927,106.27997,105.96537,0,0,0,0,0,0,0,0,0,0,0,0,-0.002365186,-0.00556412,-0.11815169,-0.15731788,0.019446664,0.017878374,28.913626,28.82206,-0.004018225,-0.0034925193,0.0046366453,0.0047852173,78,8,231,1,12,285.23538,0.09166095,199.28445,5.339494,200897.92,152.81165,119.87933,119.887436,142.40085,142.40085,0,0.9998863,-4.351387,0,0,0.7600034,0.7600034,0,1,139,0,0,0,1,0,197,0
True,25168093,13999.992,2099.9988,12587.235,-0.014228433,-0.057466283,9.592058,0.08829892,0.055089816,6.489009,0.007198978,-0.04464019,-0.00018596355,-1.5272619,0.0073247957,-0.017541587,0.22328652,0.25014225,0.44879395,0.45302343,-0.019328997,-0.016646078,25.6569,25.262629,21.045837,21.320883,104.779366,104.56389,0,0,0,0,0,0,0,0,0,0,0,0,-0.0075279083,-0.011363203,-0.13207653,-0.1715376,0.02074318,0.020154757,25.65724,25.26321,-0.0044490397,-0.0029467419,0.0028274357,0.0031049922,78,8,231,1,12,284.52548,0.093524985,199.32642,6.4898434,208589.33,158.31644,119.87041,119.87857,147.60335,147.60335,0,0.9998716,-3.6477828,0,0,0.8800038,0.8800038,0,1,142,0,0,0,1,0,195,0
True,25168187,13999.992,2099.9988,12457.7705,-0.07784706,0.017942488,9.856478,0.11136997,0.060539097,7.543573,0.0025728624,-0.053942177,0.0020342509,-1.5325372,0.0076828036,-0.017459454,0.22317585,0.25527072,0.45522633,0.45579672,-0.01989536,-0.017166631,21.027122,20.694994,24.462234,24.794312,103.82769,103.7512,0,0,0,0,0,0,0,0,0,0,0,0,-0.013070994,-0.017157441,-0.1435181,-0.18261991,0.02380496,0.024270786,21.027613,20.6958,-0.004455231,-0.0026598573,0.0032495558,0.0032869875,78,8,231,1,12,283.777,0.09378938,199.36778,7.544637,196192.95,150.3002,119.86383,119.8722,152.11996,152.11996,0,0.9998587,-2.9060233,0,0,0.986671,0.986671,0,1,137,0,0,0,1,0,194,0
True,25168296,13999.992,2099.9988,12117.577,-0.2123735,0.10723721,10.061435,0.13883737,0.07155784,8.618096,-0.0072493823,-0.06583919,0.004558896,-1.5388982,0.0075542196,-0.017177748,0.24113142,0.2742384,0.45590037,0.4610555,-0.01764165,-0.016032705,17.16814,16.8662,27.952702,28.351723,101.39876,101.34347,0,0,0,0,0,0,0,0,0,0,0,0,-0.016664665,-0.021711523,-0.15781844,-0.1963154,0.024268065,0.026989589,17.168865,16.867342,-0.0034508035,-0.0015988126,0.00329379,0.003632091,78,8,231,1,12,282.91473,0.093842275,199.4114,8.61951,172438.8,135.76495,119.85864,119.86737,156.51697,156.51697,0,0.99984694,-2.0514786,0,0,1.0933383,1.0933383,0,1,127,0,0,0,1,0,193,0
True,25168421,13999.992,2099.9988,11538.263,-0.25021443,-0.008084725,10.248741,0.18214592,0.060669918,9.848997,-0.010259569,-0.08336435,0.0041967663,-1.5478183,0.005959031,-0.016858453,0.22599934,0.24228792,0.45977336,0.46980712,-0.019188292,-0.019608902,13.329145,13.040585,31.915457,32.40559,96.34747,96.18259,0,0,0,0,0,0,0,0,0,0,0,0,-0.02372669,-0.027748747,-0.18203315,-0.21918707,0.030514693,0.033977963,13.330389,13.042426,-0.0042972863,-0.00338611,0.0035479516,0.0042064115,78,8,231,1,12,281.80615,0.094417244,199.46123,9.850868,153070.73,126.52285,119.85438,119.86368,161.28854,161.28854,0,0.9998352,-0.9533787,0,0,1.2133389,1.2133389,0,1,118,0,0,0,1,0,192,0
