PositionX,PositionY,PositionZ
5893.0654,102.71589,-1201.9637
5893.0664,102.71575,-1201.9637
5893.0605,102.715385,-1201.9585
5893.0337,102.71481,-1201.9327
5892.983,102.71415,-1201.8837
5892.9023,102.71344,-1201.8053
5892.813,102.71313,-1201.7188
5892.669,102.71286,-1201.5789
5892.4893,102.71213,-1201.405
5892.3228,102.71102,-1201.2438
5892.084,102.70873,-1201.0128
5891.867,102.70635,-1200.8031
5891.5615,102.702995,-1200.5073
5891.2134,102.69935,-1200.1715
5890.903,102.696075,-1199.8727
5890.4727,102.691246,-1199.46
5889.995,102.6857,-1199.0044
5889.5786,102.68148,-1198.609
5889.015,102.6772,-1198.0759
5888.405,102.67376,-1197.5002
5887.7485,102.66997,-1196.8834
5887.191,102.665855,-1196.3615
5886.45,102.6604,-1195.6713
5885.823,102.65511,-1195.0901
5884.994,102.647606,-1194.327
5884.116,102.64022,-1193.5248
5883.221,102.63132,-1192.7162
5882.4736,102.625656,-1192.044
5881.4897,102.622795,-1191.1614
5880.4497,102.62282,-1190.2328
5879.5806,102.62362,-1189.4597
5878.449,102.6243,-1188.4567
5877.269,102.624,-1187.4143
5876.29,102.62296,-1186.5529
5875.0166,102.62332,-1185.4404
5873.6846,102.62638,-1184.2897
5872.5796,102.62984,-1183.3474
5871.1562,102.634476,-1182.1545
5869.6885,102.63977,-1180.9521
5868.4873,102.6448,-1179.9897
5866.954,102.651306,-1178.7931
5865.3853,102.657684,-1177.6094
5864.106,102.6632,-1176.6775
5862.486,102.671684,-1175.5427
5860.8438,102.682976,-1174.4473
5859.5093,102.69397,-1173.5988
5857.812,102.709076,-1172.573
5856.0737,102.726234,-1171.5842
5854.285,102.74612,-1170.6287
5852.8223,102.763626,-1169.8932
5850.9585,102.78766,-1169.016
5849.061,102.81322,-1168.1881
5847.519,102.83564,-1167.5632
5845.563,102.86958,-1166.8339
5843.5825,102.91307,-1166.1671
5841.982,102.95397,-1165.6766
5839.508,103.025764,-1164.9868
5837.377,103.09762,-1164.4619
5835.629,103.166245,-1164.08
5833.3867,103.26779,-1163.6521
5831.0845,103.383675,-1163.2771
5828.7256,103.5078,-1162.9521
5826.315,103.63843,-1162.6825
5823.8564,103.776344,-1162.4701
5821.355,103.91932,-1162.3077
5819.327,104.035225,-1162.2103
5816.766,104.181404,-1162.1296
5814.18,104.326706,-1162.0908
5812.0967,104.43882,-1162.0839
5809.475,104.57078,-1162.1007
5806.847,104.69419,-1162.1428
5804.754,104.790436,-1162.1931
5802.1543,104.91173,-1162.2742
5799.573,105.03656,-1162.3705
5797.523,105.14282,-1162.4559
5794.981,105.29192,-1162.5704
5792.457,105.461754,-1162.6907
5790.452,105.608055,-1162.7869
5787.9653,105.800255,-1162.9048
5785.995,105.95875,-1162.9968
5783.5684,106.1584,-1163.1051
5781.19,106.35952,-1163.1985
5778.869,106.559845,-1163.2676
5777.053,106.714935,-1163.3046
5774.838,106.89571,-1163.3296
5773.1035,107.02717,-1163.3339
5770.9834,107.17301,-1163.3181
5768.905,107.29249,-1163.2844
5766.857,107.38024,-1163.2369
5765.242,107.429085,-1163.1887
5763.2573,107.468544,-1163.1074
5761.333,107.50058,-1162.9877
5759.842,107.52822,-1162.8534
5758.0376,107.56946,-1162.6302
5756.298,107.61774,-1162.3474
5754.9546,107.660225,-1162.0817
5753.339,107.71853,-1161.7014
5751.7935,107.78054,-1161.2728
5750.6006,107.83165,-1160.9062
5749.1626,107.89418,-1160.4382
5747.7974,107.95209,-1159.9858
5746.763,107.99512,-1159.6323
5745.54,108.04416,-1159.1937
5744.616,108.07984,-1158.8466
5743.5312,108.12035,-1158.4229
5742.515,108.15202,-1158.0199
5741.748,108.1713,-1157.7202
5740.8496,108.19,-1157.3774
5740.019,108.20395,-1157.0481
5739.2407,108.21006,-1156.6956
5738.6533,108.2083,-1156.3962
5737.963,108.200134,-1156.0022
5737.4443,108.18662,-1155.6757
5736.83,108.15858,-1155.2561
5736.2554,108.11876,-1154.8273
5735.7236,108.07081,-1154.3903
5735.3325,108.02855,-1154.0367
5734.899,107.976456,-1153.5931
5734.531,107.932556,-1153.1459
5734.285,107.90393,-1152.7847
5734.036,107.87343,-1152.3251
5733.85,107.85337,-1151.8505
5733.7065,107.84192,-1151.358
5733.611,107.83469,-1150.9537
5733.521,107.83058,-1150.4366
