Time (s),FH4 Huracan,FM7 Huracan,FH4 Chiron,FM7 Chiron,FH4 RS7,FM7 RS7
0,0,0,0,0,0,0
0.1,0.21619189,0.2568422,0.7676227,1.3792747,0.32728946,0.48376206
0.2,1.4691274,1.4650078,2.1839213,2.6749263,1.6744746,1.9281096
0.3,2.772622,2.7872646,3.7488482,4.046992,2.8647163,3.14684
0.4,4.003825,4.284263,5.1842437,5.4745564,4.070656,4.425796
0.5,5.4189143,5.5566254,6.502202,6.9200215,5.3802505,5.8342085
0.6,6.656871,6.8389697,7.6689963,8.277901,6.7094235,7.094764
0.7,7.8912263,8.126471,8.905029,9.66085,7.7811923,8.53453
0.8,9.191965,9.443155,10.178453,11.424663,8.917459,9.844906
1,10.485292,10.808716,11.366017,13.0327425,9.917317,11.174255
1.1,11.796608,12.124764,12.592535,14.451776,10.902322,12.250944
1.2,13.349024,13.535174,14.02429,15.869164,11.807257,13.065782
1.3,14.986954,14.785567,15.264846,17.472673,12.371272,13.837906
1.4,16.57822,16.063263,16.401388,19.062511,13.610562,14.855598
1.6,17.994635,17.452446,17.762356,20.387453,14.159718,15.787203
1.7,19.077728,18.714342,19.193571,21.663425,15.245565,16.600534
1.8,20.187883,20.078596,19.619286,22.934765,16.18449,16.761057
1.9,21.141605,20.99352,20.962975,24.233294,16.98374,17.014345
2,22.022001,21.814894,21.91981,25.718142,17.736425,18.03277
2.1,22.05293,22.585754,22.874035,26.997787,17.891104,18.83605
2.2,23.594093,23.028212,23.830807,28.240072,17.905924,19.324074
2.4,24.446867,23.245161,24.78723,29.342072,18.81534,20.087687
2.5,25.200397,24.577934,25.746525,29.327608,19.5006,20.910427
2.6,25.9535,25.76581,26.824465,30.475185,20.204119,21.504204
2.7,26.707644,26.56667,27.781342,31.285614,20.90848,22.124887
2.8,27.544258,27.359241,28.74126,32.38139,21.597683,22.90932
2.9,28.274885,28.10403,29.680717,33.33012,22.346495,23.592165
3.1,29.012848,28.801659,30.629454,34.295204,23.071878,24.241264
3.2,29.746634,29.502588,31.582094,35.23031,23.694689,24.832647
3.3,30.469357,30.206537,32.53056,36.14717,24.295956,25.387106
3.4,31.188314,30.985409,33.595905,37.125156,24.875496,25.36935
3.5,31.987099,31.658674,34.663334,38.07677,25.43509,25.90827
3.6,32.663815,32.320877,35.582172,39.105263,25.469585,26.425817
3.7,33.340366,32.934433,36.518272,40.027653,26.003746,26.705107
3.9,34.020622,32.86716,37.492615,40.992165,26.474834,27.406542
4,34.385193,33.67843,38.396057,41.93213,26.968388,27.805874
4.1,34.78768,34.554646,39.44057,42.850456,27.463783,28.384972
4.2,35.481056,35.137714,40.380215,43.014385,27.962296,28.841805
4.3,36.080894,35.689117,41.271652,43.642353,28.52209,29.31248
4.4,36.627014,36.257965,42.217304,44.203293,29.011267,29.831242
4.6,37.189835,36.836227,43.11584,44.889053,29.497124,30.280224
4.7,37.73312,37.37342,43.21044,45.61467,29.984455,30.843136
4.8,38.267826,38.00601,43.7069,46.49488,30.47498,31.300207
4.9,38.965237,38.55272,44.33793,47.185345,30.95778,31.768497
5,39.503223,39.107204,45.1117,47.886898,31.434631,32.247623
5.1,40.031807,39.639637,45.820854,48.582005,32.035027,32.709286
5.3,40.567818,40.176937,46.525986,49.43933,32.56235,33.16289
5.4,41.10512,40.7766,47.22037,50.145203,33.074356,33.660458
5.5,41.63497,41.288105,47.88807,50.837536,33.583084,34.153984
5.6,42.209396,41.808098,48.794174,51.427597,34.02874,34.583824
5.7,42.714275,42.33897,49.461456,52.271183,34.46313,35.00185
5.8,43.25401,42.85606,50.168667,52.941677,34.887512,35.4113
6,43.751003,43.409893,50.94086,53.624252,35.306854,35.821964
6.1,44.247932,43.898,51.709595,54.283466,35.722633,36.221634
6.2,44.75349,44.38483,52.396248,54.99126,36.180435,36.613045
6.3,45.3125,44.864086,53.175514,55.726215,36.578117,36.996994
6.4,45.791004,45.21695,53.82446,56.415478,36.934486,37.426163
6.5,46.27822,45.146683,54.528625,57.042747,36.915623,37.602184
6.6,46.770824,45.94889,55.281063,57.72273,37.20976,37.57544
6.8,47.222153,46.30262,55.946682,58.37176,37.56823,37.955936
6.9,47.704308,46.745377,56.636963,58.974922,37.988655,38.222336
7,47.65311,47.210762,57.277348,59.03835,38.36048,38.646217
7.1,48.188778,47.59255,57.93692,59.41829,38.73628,38.9708
7.3,48.595287,48.059746,58.56772,59.854015,39.109108,39.448517
7.4,49.00263,48.44775,59.27715,60.337948,39.483063,39.791283
7.5,49.394684,48.858807,59.878696,60.819756,39.85626,40.16451
7.6,49.800694,49.24966,60.441574,61.31029,40.225113,40.519432
7.7,50.192307,49.64035,60.315796,61.865173,40.63359,40.873894
7.8,50.634968,50.028687,60.7293,62.35034,40.995174,41.266117
8,51.026215,50.46527,61.194805,62.841576,41.350014,41.611317
8.1,51.41573,50.84858,61.75528,63.33077,41.701954,41.948673
8.2,51.806717,51.23808,62.24602,63.868347,42.04838,42.288574
8.3,52.191727,51.6222,62.7315,64.359764,42.433628,42.621643
8.4,52.619408,51.985855,63.244545,64.9654,42.777756,42.948933
8.5,53.045998,52.38115,63.73161,65.51777,43.1563,43.27391
8.6,53.429855,52.74443,64.18712,65.9811,43.48551,43.633217
8.8,53.80412,53.108727,64.71374,66.46126,43.81207,43.949936
